Model,Head,Label,Var,Disease,AUC
CXR_Foundation,XGB,NegBio,pca95,Pleural_Effusion,0.9040753774548757
CXR_Foundation,XGB,NegBio,pca95,Pneumonia,0.6962939150401837
CXR_Foundation,XGB,NegBio,pca95,Pneumothorax,0.7128100577641862
CXR_Foundation,XGB,NegBio,pca95,Pleural_Other,0.7897982944711917
CXR_Foundation,XGB,NegBio,pca95,Support_Devices,0.8398071182548794
CXR_Foundation,XGB,NegBio,pca95,No_Finding,0.7676367475807775
EVA-X,i4,CheXpert,raw,Atelectasis,0.6504534870752444
EVA-X,i4,CheXpert,raw,Cardiomegaly,0.7479517095861345
EVA-X,i4,CheXpert,raw,Consolidation,0.591142044398731
EVA-X,i4,CheXpert,raw,Edema,0.7780563227124944
EVA-X,i4,CheXpert,raw,Enlarged_Cardiomediastinum,0.6593722514602376
EVA-X,i4,CheXpert,raw,Fracture,0.753340539723911
EVA-X,i4,CheXpert,raw,Lung_Lesion,0.5812141562787771
EVA-X,i4,CheXpert,raw,Lung_Opacity,0.6990390960322125
EVA-X,i4,CheXpert,raw,Pleural_Effusion,0.7870980549004982
EVA-X,i4,CheXpert,raw,Pneumonia,0.6977696806410428
EVA-X,i4,CheXpert,raw,Pneumothorax,0.6407994386558395
EVA-X,i4,CheXpert,raw,Pleural_Other,0.6975701464669818
EVA-X,i4,CheXpert,raw,Support_Devices,0.7514333846100012
EVA-X,i4,CheXpert,raw,No_Finding,0.8005745257452574
CheXagent,i2,1pct,raw,Atelectasis,0.7641039026497697
CheXagent,i2,1pct,raw,Cardiomegaly,0.8471579363287424
CheXagent,i2,1pct,raw,Consolidation,0.7259248884531504
CheXagent,i2,1pct,raw,Edema,0.8541307929586363
CheXagent,i2,1pct,raw,Enlarged_Cardiomediastinum,0.5921367521367521
CheXagent,i2,1pct,raw,Fracture,0.7695057833859096
CheXagent,i2,1pct,raw,Lung_Lesion,0.7268152250351617
CheXagent,i2,1pct,raw,Lung_Opacity,0.7390704589213034
CheXagent,i2,1pct,raw,Pleural_Effusion,0.9247706216210152
CheXagent,i2,1pct,raw,Pneumonia,0.7327324910812477
CheXagent,i2,1pct,raw,Pneumothorax,0.9100237852531431
CheXagent,i2,1pct,raw,Pleural_Other,0.7616377074688796
CheXagent,i2,1pct,raw,Support_Devices,0.8826780714551072
CheXagent,i2,1pct,raw,No_Finding,0.8146287262872629
BioViL-T,LR,CheXpert,raw,Atelectasis,0.6496705789170507
BioViL-T,LR,CheXpert,raw,Cardiomegaly,0.7551013208399188
BioViL-T,LR,CheXpert,raw,Consolidation,0.5840452990255908
BioViL-T,LR,CheXpert,raw,Edema,0.7667331491644266
BioViL-T,LR,CheXpert,raw,Enlarged_Cardiomediastinum,0.6287667887667887
BioViL-T,LR,CheXpert,raw,Fracture,0.5545040308447249
BioViL-T,LR,CheXpert,raw,Lung_Lesion,0.5630713783403657
BioViL-T,LR,CheXpert,raw,Lung_Opacity,0.5433306524335259
BioViL-T,LR,CheXpert,raw,Pleural_Effusion,0.7551988693720978
BioViL-T,LR,CheXpert,raw,Pneumonia,0.5307618715520864
BioViL-T,LR,CheXpert,raw,Pneumothorax,0.672443085287122
BioViL-T,LR,CheXpert,raw,Pleural_Other,0.5940417531120331
BioViL-T,LR,CheXpert,raw,Support_Devices,0.6719462138579053
BioViL-T,LR,CheXpert,raw,No_Finding,0.6763577235772358
CheXagent,XGB,10pct,pca95,Atelectasis,0.7359771025345622
CheXagent,XGB,10pct,pca95,Cardiomegaly,0.8381971099571008
CheXagent,XGB,10pct,pca95,Consolidation,0.764280998019168
CheXagent,XGB,10pct,pca95,Edema,0.8652676436703293
CheXagent,XGB,10pct,pca95,Enlarged_Cardiomediastinum,0.6368742368742368
CheXagent,XGB,10pct,pca95,Fracture,0.7500408926276434
CheXagent,XGB,10pct,pca95,Lung_Lesion,0.7440884317862165
CheXagent,XGB,10pct,pca95,Lung_Opacity,0.7486778289585923
CheXagent,XGB,10pct,pca95,Pleural_Effusion,0.9036610808264351
CheXagent,XGB,10pct,pca95,Pneumonia,0.6716647443291042
CheXagent,XGB,10pct,pca95,Pneumothorax,0.8802582398912674
CheXagent,XGB,10pct,pca95,Pleural_Other,0.7139522821576764
CheXagent,XGB,10pct,pca95,Support_Devices,0.8858584851807219
CheXagent,XGB,10pct,pca95,No_Finding,0.8127913279132792
CheXagent,LR,CheXpert,raw,Atelectasis,0.792842741935484
CheXagent,LR,CheXpert,raw,Cardiomegaly,0.8388603522239785
CheXagent,LR,CheXpert,raw,Consolidation,0.8043578302887213
CheXagent,LR,CheXpert,raw,Edema,0.8782255367119656
CheXagent,LR,CheXpert,raw,Enlarged_Cardiomediastinum,0.7326984126984126
CheXagent,LR,CheXpert,raw,Fracture,0.8128987031195233
CheXagent,LR,CheXpert,raw,Lung_Lesion,0.8150931786216596
CheXagent,LR,CheXpert,raw,Lung_Opacity,0.7592990665594308
CheXagent,LR,CheXpert,raw,Pleural_Effusion,0.9162067882540323
CheXagent,LR,CheXpert,raw,Pneumonia,0.7867099416145847
CheXagent,LR,CheXpert,raw,Pneumothorax,0.908868501529052
CheXagent,LR,CheXpert,raw,Pleural_Other,0.8818399896265561
CheXagent,LR,CheXpert,raw,Support_Devices,0.9048231744334604
CheXagent,LR,CheXpert,raw,No_Finding,0.8288075880758807
BioViL-T,LR,NegBio,raw,Atelectasis,0.6643897672766034
BioViL-T,LR,NegBio,raw,Cardiomegaly,0.7460557839154508
BioViL-T,LR,NegBio,raw,Consolidation,0.5743886136667453
BioViL-T,LR,NegBio,raw,Edema,0.7561448738486183
BioViL-T,LR,NegBio,raw,Enlarged_Cardiomediastinum,0.6142612942612943
BioViL-T,LR,NegBio,raw,Fracture,0.5769691524408506
BioViL-T,LR,NegBio,raw,Lung_Lesion,0.5677869201623209
BioViL-T,LR,NegBio,raw,Lung_Opacity,0.5497020611507277
BioViL-T,LR,NegBio,raw,Pleural_Effusion,0.7648030423430582
BioViL-T,LR,NegBio,raw,Pneumonia,0.5408220436280137
BioViL-T,LR,NegBio,raw,Pneumothorax,0.6610261637784574
BioViL-T,LR,NegBio,raw,Pleural_Other,0.6119449951225653
BioViL-T,LR,NegBio,raw,Support_Devices,0.6742411021814007
BioViL-T,LR,NegBio,raw,No_Finding,0.6864595292766935
Early_Fusion,s2,CheXpert,raw,Atelectasis,0.7921766993087558
Early_Fusion,s2,CheXpert,raw,Cardiomegaly,0.8525979340708963
Early_Fusion,s2,CheXpert,raw,Consolidation,0.82798775485704
Early_Fusion,s2,CheXpert,raw,Edema,0.8751409139898171
Early_Fusion,s2,CheXpert,raw,Enlarged_Cardiomediastinum,0.7497924297924298
Early_Fusion,s2,CheXpert,raw,Fracture,0.8056548662226896
Early_Fusion,s2,CheXpert,raw,Lung_Lesion,0.8093134669479607
Early_Fusion,s2,CheXpert,raw,Lung_Opacity,0.7611561989715094
Early_Fusion,s2,CheXpert,raw,Pleural_Effusion,0.9312930434977679
Early_Fusion,s2,CheXpert,raw,Pneumonia,0.7965004515257995
Early_Fusion,s2,CheXpert,raw,Pneumothorax,0.9376826367652057
Early_Fusion,s2,CheXpert,raw,Pleural_Other,0.8749027489626556
Early_Fusion,s2,CheXpert,raw,Support_Devices,0.9128602883212671
Early_Fusion,s2,CheXpert,raw,No_Finding,0.8317235772357724
CXR_Foundation,XGB,1pct,l2,Atelectasis,0.7705213133640554
CXR_Foundation,XGB,1pct,l2,Cardiomegaly,0.765861368254685
CXR_Foundation,XGB,1pct,l2,Consolidation,0.695742211728926
