Model,Head,Label,Var,Filename
CXR_Foundation,XGB,1pct,pca95,CXR_Foundation_XGB_1pct_pca95.npy
CXR_Foundation,XGB,1pct,raw,CXR_Foundation_XGB_1pct_raw.npy
CXR_Foundation,XGB,5pct,l2,CXR_Foundation_XGB_5pct_l2.npy
CXR_Foundation,XGB,5pct,pca95,CXR_Foundation_XGB_5pct_pca95.npy
CXR_Foundation,XGB,5pct,raw,CXR_Foundation_XGB_5pct_raw.npy
CXR_Foundation,XGB,CheXpert,l2,CXR_Foundation_XGB_CheXpert_l2.npy
CXR_Foundation,XGB,CheXpert,pca95,CXR_Foundation_XGB_CheXpert_pca95.npy
CXR_Foundation,XGB,CheXpert,raw,CXR_Foundation_XGB_CheXpert_raw.npy
CXR_Foundation,XGB,NegBio,l2,CXR_Foundation_XGB_NegBio_l2.npy
CXR_Foundation,XGB,NegBio,pca95,CXR_Foundation_XGB_NegBio_pca95.npy
CXR_Foundation,XGB,NegBio,raw,CXR_Foundation_XGB_NegBio_raw.npy
CXR_Foundation,i2,10pct,raw,CXR_Foundation_i2_10pct_raw.npy
CXR_Foundation,i2,1pct,raw,CXR_Foundation_i2_1pct_raw.npy
CXR_Foundation,i2,5pct,raw,CXR_Foundation_i2_5pct_raw.npy
CXR_Foundation,i2,CheXpert,raw,CXR_Foundation_i2_CheXpert_raw.npy
CXR_Foundation,i2,NegBio,raw,CXR_Foundation_i2_NegBio_raw.npy
CXR_Foundation,i4,10pct,raw,CXR_Foundation_i4_10pct_raw.npy
CXR_Foundation,i4,1pct,raw,CXR_Foundation_i4_1pct_raw.npy
CXR_Foundation,i4,5pct,raw,CXR_Foundation_i4_5pct_raw.npy
CXR_Foundation,i4,CheXpert,raw,CXR_Foundation_i4_CheXpert_raw.npy
CXR_Foundation,i4,NegBio,raw,CXR_Foundation_i4_NegBio_raw.npy
CXR_Foundation,s2,10pct,raw,CXR_Foundation_s2_10pct_raw.npy
CXR_Foundation,s2,1pct,raw,CXR_Foundation_s2_1pct_raw.npy
CXR_Foundation,s2,5pct,raw,CXR_Foundation_s2_5pct_raw.npy
CXR_Foundation,s2,CheXpert,raw,CXR_Foundation_s2_CheXpert_raw.npy
CXR_Foundation,s2,NegBio,raw,CXR_Foundation_s2_NegBio_raw.npy
CXR_Foundation,s4,10pct,raw,CXR_Foundation_s4_10pct_raw.npy
CXR_Foundation,s4,1pct,raw,CXR_Foundation_s4_1pct_raw.npy
