Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.7808024272222246,0.7573892449004901
MedSigLIP,l2,0.7820184819898021,0.7654470853169487
MedSigLIP,pca_95,0.7525534260424844,0.7348642778097253
BioViL-T,raw,0.627147947102799,0.6162214273700156
BioViL-T,l2,0.6386403937681985,0.5906341485640431
BioViL-T,pca_95,0.5320764469191601,0.5334512525088804
EVA-X,raw,0.792405577052862,0.7406359506112195
EVA-X,l2,0.7952648694149456,0.7479089314972718
EVA-X,pca_95,0.7665545070686922,0.737550801807971
CheXFound,raw,0.7467015696206868,0.7234052737357376
CheXFound,l2,0.7492827518897123,0.7213647320703405
CheXFound,pca_95,0.6996008630672328,0.7153550734184163
CheXagent,raw,0.8202284143736623,0.8066146354046705
CheXagent,l2,0.8199936614819706,0.7887159399267567
CheXagent,pca_95,0.759760168718828,0.7827729075827703
CXR_Foundation,raw,0.7829433658002569,0.7359472794740861
CXR_Foundation,l2,0.7943813893375233,0.7364529208674702
CXR_Foundation,pca_95,0.7408234140887905,0.7226315853582975
Early_Fusion,raw,0.8204118002107711,0.7548446851719878
Early_Fusion,l2,0.8047860434074109,0.771071173791028
Early_Fusion,pca_95,0.7522510620115871,0.7546351949972335
