Model,Disease,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
CheXagent,Pleural_Effusion,0.5,0.2,2,0.9577292094534531,0.9312237484390964
CheXagent,Pneumonia,0.5,0.2,1,0.8403954802259886,0.7972169919632606
CheXagent,Pneumothorax,1.0,0.5,1,0.9500922083909635,0.927353041114509
CheXagent,Pleural_Other,2.0,0.5,2,0.8703504043126684,0.8555964630730986
CheXagent,Support_Devices,1.0,0.5,2,0.9334291187739464,0.9204225028702642
CheXagent,No_Finding,0.5,0.2,1,0.903334151943718,0.8280250533049041
CXR_Foundation,Atelectasis,1.0,0.5,2,0.8907129455909943,0.7833895896251555
CXR_Foundation,Cardiomegaly,1.5,0.2,1,0.9005275374551593,0.816158265426312
CXR_Foundation,Consolidation,2.0,0.5,2,0.896457765667575,0.7995989620193442
CXR_Foundation,Edema,2.0,0.2,2,0.9641873278236914,0.8721966359631557
CXR_Foundation,Enlarged_Cardiomediastinum,1.0,0.5,1,0.8300526213213798,0.6976800976800976
CXR_Foundation,Fracture,2.0,0.5,1,0.7121621621621621,0.7547169811320755
CXR_Foundation,Lung_Lesion,2.0,0.2,1,0.8322571031194119,0.7303993004954823
CXR_Foundation,Lung_Opacity,2.0,0.2,1,0.7690262751159197,0.7392644329393377
CXR_Foundation,Pleural_Effusion,0.5,0.2,2,0.9480734451154094,0.9168180270178227
CXR_Foundation,Pneumonia,1.5,0.2,1,0.7915036940460669,0.7295246842709529
CXR_Foundation,Pneumothorax,1.0,0.5,1,0.8973605348086676,0.8603465851172273
CXR_Foundation,Pleural_Other,0.67,0.2,1,0.8202156334231806,0.7936687749771862
CXR_Foundation,Support_Devices,2.0,0.2,1,0.8882691007437458,0.8747370838117107
CXR_Foundation,No_Finding,0.67,0.2,2,0.88934313739653,0.8062674266032476
Early_Fusion,Atelectasis,0.67,0.5,2,0.9005125971589386,0.7871646828921656
Early_Fusion,Cardiomegaly,2.0,0.5,1,0.9205739607512133,0.8443627156398484
Early_Fusion,Consolidation,2.0,0.2,1,0.912911339341857,0.8104309192419595
Early_Fusion,Edema,1.5,0.5,1,0.9721238357601993,0.874899879855827
Early_Fusion,Enlarged_Cardiomediastinum,0.67,0.2,2,0.8489573182615475,0.6783882783882783
Early_Fusion,Fracture,1.5,0.2,1,0.7953667953667953,0.8612109413996206
Early_Fusion,Lung_Lesion,2.0,0.5,1,0.8565467911782237,0.8323879559670874
Early_Fusion,Lung_Opacity,1.0,0.5,1,0.7889799072642967,0.7584253199179447
Early_Fusion,Pleural_Effusion,0.5,0.2,1,0.9584035802961101,0.930894539675332
Early_Fusion,Pneumonia,1.5,0.5,2,0.8423149355352745,0.7907876004592422
Early_Fusion,Pneumothorax,1.0,0.5,2,0.9244467496542186,0.9073734284743459
Early_Fusion,Pleural_Other,0.67,0.2,1,0.8776280323450135,0.8270870700777242
Early_Fusion,Support_Devices,0.67,0.5,1,0.9298794230335813,0.9058185993111366
Early_Fusion,No_Finding,0.67,0.5,2,0.899946549557228,0.8284760948007217
