Model,Disease,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,Atelectasis,2.0,0.2,1,0.8759005580923389,0.7595766129032259
MedSigLIP,Cardiomegaly,1.5,0.5,1,0.8715061058344642,0.8249322646195529
MedSigLIP,Consolidation,1.0,0.2,2,0.8009160007795751,0.6935512915424478
MedSigLIP,Edema,1.5,0.5,2,0.9579561852289125,0.8394881260607262
MedSigLIP,Enlarged_Cardiomediastinum,0.5,0.2,2,0.8073779081953468,0.6093284493284493
MedSigLIP,Fracture,1.5,0.2,2,0.6426622490742545,0.6238579273279589
MedSigLIP,Lung_Lesion,2.0,0.2,1,0.7762269024438705,0.6364934950773558
MedSigLIP,Lung_Opacity,0.5,0.5,1,0.7238942088463292,0.7231556627915479
MedSigLIP,Pleural_Effusion,1.5,0.5,1,0.9268006182380216,0.8983163963478924
MedSigLIP,Pneumonia,0.5,0.5,1,0.7112800565770863,0.6967356025857676
MedSigLIP,Pneumothorax,0.67,0.2,2,0.8826131687242799,0.8420659191301394
MedSigLIP,Pleural_Other,2.0,0.5,2,0.7824797843665768,0.5119294605809128
MedSigLIP,Support_Devices,2.0,0.2,2,0.8490315439955728,0.8267807145510724
MedSigLIP,No_Finding,1.5,0.5,2,0.8607436949473504,0.7850081300813009
BioViL-T,Atelectasis,0.5,0.2,1,0.7113647894469812,0.6116341445852534
BioViL-T,Cardiomegaly,2.0,0.2,2,0.7756929637526653,0.6779323775118538
BioViL-T,Consolidation,2.0,0.2,2,0.6386669265250439,0.543288181036035
BioViL-T,Edema,0.5,0.2,2,0.6446936901482355,0.5680661025977727
BioViL-T,Enlarged_Cardiomediastinum,0.5,0.2,2,0.6839237057220708,0.5808547008547008
BioViL-T,Fracture,1.5,0.5,1,0.763788735139349,0.5280289753475873
BioViL-T,Lung_Lesion,1.0,0.2,1,0.5965626862706139,0.5734880450070323
BioViL-T,Lung_Opacity,1.5,0.2,1,0.579860161118711,0.5167507494333552
BioViL-T,Pleural_Effusion,1.5,0.5,2,0.7493353941267388,0.722166139488974
BioViL-T,Pneumonia,0.5,0.5,2,0.5907708628005657,0.5296442334343678
BioViL-T,Pneumothorax,2.0,0.2,2,0.7536522633744855,0.6861705742439687
BioViL-T,Pleural_Other,2.0,0.2,1,0.7579514824797844,0.44881353734439833
BioViL-T,Support_Devices,0.67,0.2,1,0.774764803541782,0.6445185433523917
BioViL-T,No_Finding,1.0,0.2,1,0.7333515048919748,0.6928130081300813
EVA-X,Atelectasis,1.5,0.5,1,0.7994419076610857,0.6809745823732719
EVA-X,Cardiomegaly,2.0,0.2,1,0.8642178716805582,0.8104538270489953
EVA-X,Consolidation,1.0,0.2,1,0.7455661664392906,0.637687828888133
EVA-X,Edema,0.67,0.5,1,0.7672176308539944,0.7701770251353395
EVA-X,Enlarged_Cardiomediastinum,0.5,0.2,1,0.7823307482708028,0.6145054945054944
EVA-X,Fracture,2.0,0.2,2,0.6338920288442799,0.49085173501577284
EVA-X,Lung_Lesion,1.5,0.5,2,0.8021557719054242,0.6312851617440225
EVA-X,Lung_Opacity,0.5,0.5,2,0.7059127526979785,0.6615632083059151
EVA-X,Pleural_Effusion,0.5,0.5,1,0.8971251931993819,0.854723287794154
EVA-X,Pneumonia,1.5,0.5,2,0.5979844413012729,0.5814221721520345
EVA-X,Pneumothorax,0.5,0.5,1,0.8053497942386831,0.7471967380224261
EVA-X,Pleural_Other,1.5,0.2,2,0.7590296495956874,0.4817492219917012
EVA-X,Support_Devices,1.5,0.5,2,0.8192584394023243,0.7261582233175974
EVA-X,No_Finding,1.5,0.5,1,0.854381258428256,0.7314254742547426
CheXFound,Atelectasis,2.0,0.5,2,0.8175207170640961,0.7207931307603687
CheXFound,Cardiomegaly,0.5,0.5,1,0.8505136654390386,0.7924263377737639
CheXFound,Consolidation,1.0,0.5,2,0.7557980900409277,0.5830248704455872
CheXFound,Edema,0.5,0.5,1,0.875836284927194,0.7494022769223145
CheXFound,Enlarged_Cardiomediastinum,0.67,0.2,2,0.7897715363655419,0.6286202686202687
