Model,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,0.5,0.5,1,0.8148344705179735,0.774721404753447
BioViL-T,1.5,0.5,2,0.7120815391140489,0.6256969258029746
EVA-X,0.67,0.5,1,0.8074486246696276,0.7559066270957182
CheXFound,2.0,0.5,2,0.7829293711054027,0.7552340573916644
CheXagent,0.5,0.2,2,0.8504615469540939,0.8107317448231196
CXR_Foundation,1.5,0.2,1,0.8220640679852148,0.7750438633078797
Early_Fusion,1.0,0.2,1,0.8364195285016278,0.796766522640181
