Model,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,0.5,0.2,2,0.7965878851921001,0.7296153455809071
BioViL-T,1.5,0.5,2,0.6610503714504947,0.6031003656986034
EVA-X,0.67,0.5,2,0.7693898006059935,0.7001696957859044
CheXFound,2.0,0.5,2,0.7439126158555202,0.7064211010852339
CheXagent,0.5,0.5,2,0.8315306278136336,0.7806804088995062
CXR_Foundation,1.0,0.2,1,0.810213525627231,0.7302557556254293
Early_Fusion,2.0,0.2,2,0.8160036512803212,0.7452795373867019
