Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.7276431424606651,0.7018722339189144
MedSigLIP,l2,0.7461390754187792,0.6952503064928142
MedSigLIP,pca_95,0.6842490991905544,0.6496107350838367
BioViL-T,raw,0.6307530216648335,0.6022582321514232
BioViL-T,l2,0.6241494977278055,0.5827548838681408
BioViL-T,pca_95,0.4815078550934883,0.48662373311920215
EVA-X,raw,0.7619541196206887,0.6863933665262174
EVA-X,l2,0.7341838704664475,0.6817228806350941
EVA-X,pca_95,0.6876227339848046,0.6315011570102157
CheXFound,raw,0.7010516675069053,0.6585390846907442
CheXFound,l2,0.6708431552111281,0.6673323310427511
CheXFound,pca_95,0.5998993496421363,0.6148284952842104
CheXagent,raw,0.7828725597599686,0.7579230938277165
CheXagent,l2,0.7958945799722175,0.7262734410772937
CheXagent,pca_95,0.6814302110720794,0.6943799736840568
CXR_Foundation,raw,0.7989658803805819,0.7178073819563048
CXR_Foundation,l2,0.7802675026039979,0.7141923064285851
CXR_Foundation,pca_95,0.655924364479189,0.6434349705291382
Early_Fusion,raw,0.7888169900537066,0.7372770561866149
Early_Fusion,l2,0.792927666661782,0.7214055237150572
Early_Fusion,pca_95,0.6620303716072671,0.6779462773007838
