Model,Disease,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
CheXagent,Pleural_Effusion,1.5,0.2,1,0.9602318392581144,0.9269522399443659
CheXagent,Pneumonia,0.67,0.2,1,0.8493635077793493,0.7840812567617105
CheXagent,Pneumothorax,2.0,0.5,1,0.9649691358024691,0.9235474006116209
CheXagent,Pleural_Other,1.0,0.2,1,0.8811320754716981,0.8408648858921162
CheXagent,Support_Devices,0.67,0.5,2,0.9310736026563364,0.9195110680209854
CheXagent,No_Finding,1.5,0.2,2,0.9010845551315526,0.8285745257452575
CXR_Foundation,Atelectasis,0.5,0.5,2,0.8891933028919331,0.7881264400921658
CXR_Foundation,Cardiomegaly,2.0,0.5,1,0.8903857336693157,0.8140311018288553
CXR_Foundation,Consolidation,1.0,0.2,1,0.8901773533424284,0.7965545529122232
CXR_Foundation,Edema,0.67,0.5,2,0.9652367834186015,0.8701113685071169
CXR_Foundation,Enlarged_Cardiomediastinum,0.67,0.5,1,0.8344162649339761,0.6897191697191697
CXR_Foundation,Fracture,1.0,0.5,1,0.6489962970181251,0.7079331697628227
CXR_Foundation,Lung_Lesion,1.0,0.5,1,0.8391118617126962,0.7507032348804501
CXR_Foundation,Lung_Opacity,1.5,0.5,1,0.7746922024623804,0.7441154249226195
CXR_Foundation,Pleural_Effusion,0.67,0.5,1,0.9494281298299845,0.916072189694237
CXR_Foundation,Pneumonia,2.0,0.2,1,0.7904172560113154,0.7238450327691497
CXR_Foundation,Pneumothorax,0.5,0.5,1,0.899022633744856,0.8448521916411825
CXR_Foundation,Pleural_Other,2.0,0.2,1,0.828032345013477,0.8241377074688796
CXR_Foundation,Support_Devices,0.67,0.5,1,0.8802988378527946,0.8714696048494512
CXR_Foundation,No_Finding,0.5,0.2,2,0.8848018821909162,0.8125691056910569
Early_Fusion,Atelectasis,1.5,0.5,2,0.9016404532386266,0.7845982142857143
Early_Fusion,Cardiomegaly,0.67,0.5,2,0.9083930994378755,0.8441804018965907
Early_Fusion,Consolidation,0.67,0.5,2,0.8960241668290783,0.8089197462934432
Early_Fusion,Edema,0.67,0.2,1,0.9748786566968385,0.877048672621186
Early_Fusion,Enlarged_Cardiomediastinum,0.5,0.2,2,0.8531754349193041,0.6698412698412698
Early_Fusion,Fracture,2.0,0.2,2,0.7171116741375949,0.8029676364061222
Early_Fusion,Lung_Lesion,1.5,0.2,2,0.8571925293065766,0.8047863924050633
Early_Fusion,Lung_Opacity,2.0,0.5,2,0.7949232406140752,0.758660524968926
Early_Fusion,Pleural_Effusion,2.0,0.5,1,0.960370942812983,0.9291562913610157
Early_Fusion,Pneumonia,1.5,0.2,1,0.8462517680339463,0.7675670359343008
Early_Fusion,Pneumothorax,1.0,0.5,1,0.9431584362139918,0.891471287801563
Early_Fusion,Pleural_Other,1.0,0.5,1,0.9018867924528302,0.8443010892116183
Early_Fusion,Support_Devices,1.5,0.2,2,0.9186496956281129,0.9110571477759758
Early_Fusion,No_Finding,2.0,0.2,2,0.8977491177230081,0.8249322493224933
