Model,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,2.0,0.5,2,0.8542213754417142,0.8120498891455182
BioViL-T,1.0,0.2,2,0.7619490448486348,0.6578498722807512
EVA-X,0.5,0.2,2,0.8429422738951804,0.7930269600554217
CheXFound,1.5,0.2,2,0.8355631886395167,0.7904155668815346
CheXagent,1.5,0.2,2,0.8711148029642715,0.8379175530617132
CXR_Foundation,0.67,0.2,1,0.8459212308034009,0.8018521391042636
Early_Fusion,1.5,0.2,2,0.8736235522191642,0.8426340041129338
