Model,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,2.0,0.5,1,0.8295725274888361,0.784858206798949
BioViL-T,1.5,0.5,1,0.7227429779784014,0.6361146274508279
EVA-X,0.67,0.2,1,0.819992775804948,0.7652981173610917
CheXFound,0.5,0.5,2,0.8024033906199761,0.7583265472508897
CheXagent,2.0,0.5,2,0.8524489175315088,0.8197697666723086
CXR_Foundation,1.5,0.5,1,0.8305994595269561,0.7817181720845738
Early_Fusion,1.5,0.5,1,0.852703250335537,0.8019488133468252
