Model,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,2.0,0.5,2,0.8508910128965294,0.8070927822035665
BioViL-T,1.5,0.2,2,0.7516422154557837,0.661536808341436
EVA-X,1.5,0.2,1,0.8333986646181785,0.7860909494361089
CheXFound,2.0,0.5,2,0.8251629678661614,0.7921687885364227
CheXagent,1.5,0.5,2,0.8647510548900145,0.835493079314532
CXR_Foundation,0.67,0.2,1,0.8376766502977732,0.7944112052351294
Early_Fusion,0.5,0.5,2,0.8678484324448672,0.8399130721763977
