Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.7946847155711863,0.7125099455784116
MedSigLIP,l2,0.7982926856641631,0.7094948694828739
MedSigLIP,pca_95,0.7065442571606388,0.6407134266400993
BioViL-T,raw,0.6283675676041607,0.5760949651336779
BioViL-T,l2,0.6671044501561656,0.6047741594505253
BioViL-T,pca_95,0.5694884865585714,0.5146148709526571
EVA-X,raw,0.7486958315711492,0.6628576606313932
EVA-X,l2,0.7280505117149598,0.6556709561687798
EVA-X,pca_95,0.6787187900905438,0.6398254345227663
CheXFound,raw,0.7352093741855839,0.6807667014815808
CheXFound,l2,0.7219896226264017,0.6625666866206759
CheXFound,pca_95,0.6524816535683674,0.6037217090972348
CheXagent,raw,0.8230642858836246,0.7555169422578247
CheXagent,l2,0.8249547447076128,0.7573131545955966
CheXagent,pca_95,0.7723236499696335,0.7102899963450569
CXR_Foundation,raw,0.7954971873619247,0.7238328771527488
CXR_Foundation,l2,0.7954971873619247,0.7238328771527488
CXR_Foundation,pca_95,0.7507394095436569,0.6705935768443705
