Head,Foundation_Model,Disease,AUROC,AUROC_Low,AUROC_High,AUPRC,Positives
Logistic Regression,MedSigLIP,Atelectasis,0.8008082517281105,0.7623157826816364,0.8367789977584555,0.3434715730546047,128
Logistic Regression,MedSigLIP,Cardiomegaly,0.8238738993000678,0.7900216076056303,0.8542355966855392,0.4364031269196662,172
Logistic Regression,MedSigLIP,Consolidation,0.7864703175333639,0.7211676865358615,0.8480538144914371,0.16961868430042717,53
Logistic Regression,MedSigLIP,Edema,0.8625546622400059,0.8216103955051293,0.9040617418685686,0.38856798980127827,89
Logistic Regression,MedSigLIP,Enlarged_Cardiomediastinum,0.6763369963369963,0.5783827539195637,0.7820496440180629,0.05563416248413394,21
Logistic Regression,MedSigLIP,Fracture,0.7427736885150135,0.6611583931405112,0.8248641322994922,0.17480386548020266,45
Logistic Regression,MedSigLIP,Lung_Lesion,0.7152777777777778,0.6345464509755875,0.7914607001382407,0.11954851120185772,48
Logistic Regression,MedSigLIP,Lung_Opacity,0.7394506592576345,0.7054682521780558,0.7712024260199877,0.5159541536909175,291
Logistic Regression,MedSigLIP,Pleural_Effusion,0.9100320793234178,0.8880799562398318,0.9337472339433036,0.8114307297086274,234
Logistic Regression,MedSigLIP,Pneumonia,0.7443112219808125,0.6963595567892533,0.7867365333734346,0.31005652909246145,129
Logistic Regression,MedSigLIP,Pneumothorax,0.9065579340808698,0.8478954945799457,0.9532380605997628,0.0930909290478031,15
Logistic Regression,MedSigLIP,Pleural_Other,0.7803099066390042,0.7223293092068622,0.8329329949349773,0.07524075273122467,32
Logistic Regression,MedSigLIP,Support_Devices,0.8836385382782272,0.8526105361987956,0.9116344669844335,0.5362772863655818,127
Logistic Regression,MedSigLIP,No_Finding,0.799479674796748,0.7697925948724185,0.8304887197383968,0.574872952439585,246
Logistic Regression,BioViL-T,Atelectasis,0.6496705789170507,0.5993334561682551,0.6979237002620624,0.21198933305721376,128
Logistic Regression,BioViL-T,Cardiomegaly,0.7551013208399188,0.7172939730830202,0.7889164209122725,0.32892875575331465,172
Logistic Regression,BioViL-T,Consolidation,0.5840452990255908,0.5205660311693012,0.650882993653136,0.06727925698878533,53
Logistic Regression,BioViL-T,Edema,0.7667331491644266,0.725206530406563,0.8093253384637794,0.19247812283118532,89
Logistic Regression,BioViL-T,Enlarged_Cardiomediastinum,0.6287667887667887,0.5223864543926019,0.735967422610891,0.03881273745124367,21
Logistic Regression,BioViL-T,Fracture,0.5545040308447249,0.47700240006982636,0.6316536370790897,0.054867946202213344,45
Logistic Regression,BioViL-T,Lung_Lesion,0.5630713783403657,0.4682715917857678,0.6466419405712261,0.058471889100801325,48
Logistic Regression,BioViL-T,Lung_Opacity,0.5433306524335259,0.4999195741173358,0.5754661672437401,0.33002672648281084,291
Logistic Regression,BioViL-T,Pleural_Effusion,0.7551988693720978,0.7197441392842279,0.7876180147749993,0.49948557868385396,234
Logistic Regression,BioViL-T,Pneumonia,0.5307618715520864,0.47630641242099797,0.5868247615427267,0.1499947409573959,129
Logistic Regression,BioViL-T,Pneumothorax,0.672443085287122,0.5508827722516209,0.7803659799206942,0.024981700822581575,15
Logistic Regression,BioViL-T,Pleural_Other,0.5940417531120331,0.5064009537711446,0.6887857431418895,0.04256142334044036,32
Logistic Regression,BioViL-T,Support_Devices,0.6719462138579053,0.6251710829060002,0.7205591498526667,0.21672526584386936,127
Logistic Regression,BioViL-T,No_Finding,0.6763577235772358,0.6382506939866305,0.7162216820839656,0.3911722981443044,246
Logistic Regression,EVA-X,Atelectasis,0.7677311347926268,0.7273613544648405,0.8087891944671407,0.33035086937296254,128
Logistic Regression,EVA-X,Cardiomegaly,0.834323492887785,0.8024239686908928,0.8618946395823974,0.46290681444908693,172
Logistic Regression,EVA-X,Consolidation,0.7617999559815122,0.6998617288590978,0.8139859906375352,0.13371572037970147,53
Logistic Regression,EVA-X,Edema,0.8556421342120586,0.814917462354685,0.8948679611251633,0.3664935064856586,89
Logistic Regression,EVA-X,Enlarged_Cardiomediastinum,0.6788766788766789,0.5839086900917613,0.766428920319402,0.031840880956079565,21
Logistic Regression,EVA-X,Fracture,0.6704521556256573,0.5851783956341148,0.7544745377487666,0.10794026111276948,45
Logistic Regression,EVA-X,Lung_Lesion,0.7046853023909986,0.6221409224733038,0.7758623627083446,0.12397186969006131,48
Logistic Regression,EVA-X,Lung_Opacity,0.7122419633935317,0.6733167478782546,0.7458613013948023,0.499824682825247,291
Logistic Regression,EVA-X,Pleural_Effusion,0.8991744621665883,0.8779614466125686,0.9219557586464944,0.772158963313307,234
Logistic Regression,EVA-X,Pneumonia,0.7053011811199628,0.6600149013578663,0.7512597570580589,0.25518621117644985,129
Logistic Regression,EVA-X,Pneumothorax,0.8782874617737003,0.7968065439969391,0.9432313453108,0.081955958673728,15
Logistic Regression,EVA-X,Pleural_Other,0.7848482883817427,0.731888770306248,0.8366190325791613,0.07406085747408847,32
Logistic Regression,EVA-X,Support_Devices,0.8093835796417278,0.7725290197729245,0.8429744208589198,0.35748749169151317,127
Logistic Regression,EVA-X,No_Finding,0.7801084010840108,0.7462776347301995,0.8128512922324471,0.5709244119380731,246
Logistic Regression,CheXFound,Atelectasis,0.7629068260368664,0.7216709810280263,0.8066119648273943,0.34981259936129294,128
Logistic Regression,CheXFound,Cardiomegaly,0.8411111424700835,0.8114900433688429,0.8677352867323467,0.4770418702492577,172
Logistic Regression,CheXFound,Consolidation,0.7846495528121811,0.7270130197260699,0.836840915128973,0.15812321136390883,53
Logistic Regression,CheXFound,Edema,0.8504763202556892,0.8053955649192134,0.8952129573595674,0.4078851975095107,89
Logistic Regression,CheXFound,Enlarged_Cardiomediastinum,0.7374358974358973,0.6161524515705489,0.8430619707903684,0.05134079598550141,21
Logistic Regression,CheXFound,Fracture,0.7041476808038323,0.6269190196193178,0.7907873353383009,0.20553456172309034,45
Logistic Regression,CheXFound,Lung_Lesion,0.7820850914205346,0.7069455517873644,0.8478107109211213,0.2839313224107129,48
Logistic Regression,CheXFound,Lung_Opacity,0.7251639004655017,0.6878026959026491,0.7581228285530375,0.5135066826905907,291
Logistic Regression,CheXFound,Pleural_Effusion,0.9065942077753102,0.8845619937322575,0.9273040671940231,0.7850730078369019,234
Logistic Regression,CheXFound,Pneumonia,0.692765751991631,0.6458591095618409,0.7393759934395415,0.2568944675000566,129
Logistic Regression,CheXFound,Pneumothorax,0.8457356439007815,0.7223662207481473,0.9387482171388085,0.09442858286662258,15
Logistic Regression,CheXFound,Pleural_Other,0.8136994294605809,0.769335853113281,0.8557242705166755,0.08327153202745136,32
Logistic Regression,CheXFound,Support_Devices,0.8092748475485444,0.7710616511870605,0.8487997640057459,0.3798492512795793,127
Logistic Regression,CheXFound,No_Finding,0.7980813008130081,0.766027573175312,0.8301585738367533,0.6111585592142357,246
Logistic Regression,CheXagent,Atelectasis,0.792842741935484,0.7513664629495895,0.8294165905327123,0.37426793243823137,128
Logistic Regression,CheXagent,Cardiomegaly,0.8388603522239785,0.805717517026617,0.8667207422485267,0.49858098777252974,172
Logistic Regression,CheXagent,Consolidation,0.8043578302887213,0.7329698036214883,0.8630522224390103,0.1907834778831226,53
Logistic Regression,CheXagent,Edema,0.8782255367119656,0.8391894137083429,0.9122385686397305,0.4285575307813283,89
Logistic Regression,CheXagent,Enlarged_Cardiomediastinum,0.7326984126984126,0.640339604497608,0.8212864189616679,0.053643969394795765,21
Logistic Regression,CheXagent,Fracture,0.8128987031195233,0.7395234595666861,0.880552754486126,0.351197821154708,45
Logistic Regression,CheXagent,Lung_Lesion,0.8150931786216596,0.7504923827882105,0.8674573251751357,0.19702198344663369,48
Logistic Regression,CheXagent,Lung_Opacity,0.7592990665594308,0.7291973397101605,0.788408976899124,0.5321324551684652,291
Logistic Regression,CheXagent,Pleural_Effusion,0.9162067882540323,0.8936195487072822,0.9394252021463602,0.8299726134307776,234
Logistic Regression,CheXagent,Pneumonia,0.7867099416145847,0.7479757048977416,0.8245825590244593,0.3509271130075231,129
Logistic Regression,CheXagent,Pneumothorax,0.908868501529052,0.7557219918094791,0.9839055309922449,0.46686259820087445,15
Logistic Regression,CheXagent,Pleural_Other,0.8818399896265561,0.8450729466114857,0.9186490837057955,0.13203641111468473,32
Logistic Regression,CheXagent,Support_Devices,0.9048231744334604,0.8747168247819878,0.9318818105964161,0.5957159787431832,127
Logistic Regression,CheXagent,No_Finding,0.8288075880758807,0.800587819457797,0.8560693418958779,0.6396422260475689,246
Logistic Regression,CXR_Foundation,Atelectasis,0.7932477678571428,0.7569461076244498,0.8292953751983735,0.3831024323557051,128
Logistic Regression,CXR_Foundation,Cardiomegaly,0.8290740009031384,0.7982639096274959,0.8563444215415089,0.45999765011374905,172
Logistic Regression,CXR_Foundation,Consolidation,0.7794673762980452,0.7110195493994915,0.8389441989114614,0.23005081983947426,53
Logistic Regression,CXR_Foundation,Edema,0.8572401917669066,0.8154676718630207,0.8997868789173359,0.3975071558154959,89
Logistic Regression,CXR_Foundation,Enlarged_Cardiomediastinum,0.6564102564102564,0.5313592095977416,0.7726877475727933,0.03893861626975147,21
Logistic Regression,CXR_Foundation,Fracture,0.6989835261128636,0.6226439578928563,0.779059397281645,0.12013492124008415,45
Logistic Regression,CXR_Foundation,Lung_Lesion,0.7400668073136428,0.6644730846111235,0.8115577023258777,0.12851987689475372,48
Logistic Regression,CXR_Foundation,Lung_Opacity,0.7358680022422072,0.7014310371361275,0.7674671866007877,0.5291090848916211,291
Logistic Regression,CXR_Foundation,Pleural_Effusion,0.9020795477488391,0.8780962619741985,0.9245110722525035,0.7902556818287361,234
Logistic Regression,CXR_Foundation,Pneumonia,0.7433724059619288,0.7017030190242539,0.7870071773826673,0.29709004536001793,129
Logistic Regression,CXR_Foundation,Pneumothorax,0.853482840638804,0.7355170503133482,0.9376419012459621,0.08619205230596587,15
