Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.8138243374690944,0.7527951888343528
MedSigLIP,l2,0.8104633413644897,0.7517144964628947
MedSigLIP,pca_95,0.780657985859189,0.7150012101745215
BioViL-T,raw,0.6812177163328406,0.6077593155340383
BioViL-T,l2,0.6875397968804168,0.6126600132141237
BioViL-T,pca_95,0.6458213895043766,0.5670017249631606
EVA-X,raw,0.8004038672407195,0.7019369908109108
EVA-X,l2,0.7970490559453847,0.6970049642850941
EVA-X,pca_95,0.7882785564872876,0.698563664755115
CheXFound,raw,0.7741249870708867,0.6991642598430062
CheXFound,l2,0.7613002788148739,0.6923738179241739
CheXFound,pca_95,0.7464654451148672,0.6638966321516148
CheXagent,raw,0.8457888857985116,0.7944092860907163
CheXagent,l2,0.8450869785985932,0.7729098039585908
CheXagent,pca_95,0.8255293980013534,0.761961517521447
CXR_Foundation,raw,0.8102307587197844,0.7574176937352172
CXR_Foundation,l2,0.8102307587197844,0.7574176937352172
CXR_Foundation,pca_95,0.7919926802552177,0.7194422486353622
