Model,Disease,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,Atelectasis,0.67,0.5,2,0.8840013529511247,0.7783698156682028
MedSigLIP,Cardiomegaly,1.0,0.5,1,0.8824966078697422,0.8300053623842854
MedSigLIP,Consolidation,0.5,0.5,1,0.9100565191970376,0.7730246703615519
MedSigLIP,Edema,2.0,0.2,2,0.9620884166338712,0.8514673637005562
MedSigLIP,Enlarged_Cardiomediastinum,2.0,0.2,1,0.8263466778453155,0.6469352869352868
MedSigLIP,Fracture,0.5,0.2,1,0.6331124537127266,0.6986797523075126
MedSigLIP,Lung_Lesion,0.67,0.2,1,0.8117424995032784,0.6841376582278481
MedSigLIP,Lung_Opacity,1.0,0.5,2,0.742407660738714,0.7227803368185031
MedSigLIP,Pleural_Effusion,0.67,0.5,2,0.9396445131375579,0.9150402674024721
MedSigLIP,Pneumonia,1.5,0.5,2,0.7417963224893919,0.731337678710335
MedSigLIP,Pneumothorax,2.0,0.5,2,0.889866255144033,0.8602106693849813
MedSigLIP,Pleural_Other,2.0,0.2,2,0.9315363881401617,0.7303552904564315
MedSigLIP,Support_Devices,1.5,0.2,2,0.8786386275594908,0.8682348250772451
MedSigLIP,No_Finding,0.5,0.5,1,0.869989670903509,0.7933387533875338
BioViL-T,Atelectasis,0.67,0.2,2,0.7619313377304244,0.6477534562211981
BioViL-T,Cardiomegaly,1.5,0.2,1,0.8170963364993216,0.7634341837886657
BioViL-T,Consolidation,0.67,0.2,1,0.7885402455661664,0.5789431561255728
BioViL-T,Edema,1.0,0.2,2,0.853272989636626,0.7606506200215553
BioViL-T,Enlarged_Cardiomediastinum,0.5,0.2,2,0.7915531335149865,0.5618070818070818
BioViL-T,Fracture,0.5,0.5,1,0.7062950691872929,0.5504848697277719
BioViL-T,Lung_Lesion,1.0,0.2,1,0.6663024041327241,0.5627637130801688
BioViL-T,Lung_Opacity,2.0,0.2,2,0.5956376348989207,0.5372620701420878
BioViL-T,Pleural_Effusion,1.5,0.2,2,0.7966151468315301,0.7645086030912803
BioViL-T,Pneumonia,2.0,0.2,1,0.6246110325318246,0.5276593081372997
BioViL-T,Pneumothorax,0.67,0.2,1,0.7689300411522633,0.7189942235813795
BioViL-T,Pleural_Other,1.0,0.2,2,0.7601078167115903,0.5698586618257262
BioViL-T,Support_Devices,0.5,0.5,1,0.7993635860542335,0.6636825747759665
BioViL-T,No_Finding,2.0,0.2,1,0.7861518377184173,0.6867262872628725
EVA-X,Atelectasis,1.5,0.5,1,0.8535261288685946,0.7474168346774194
EVA-X,Cardiomegaly,1.0,0.5,1,0.8792983136266718,0.8282061413411607
EVA-X,Consolidation,0.67,0.5,2,0.8992399142467354,0.728025770823746
EVA-X,Edema,0.67,0.2,1,0.9431326249508067,0.8568933265612031
EVA-X,Enlarged_Cardiomediastinum,0.5,0.5,1,0.8483546426325718,0.6534798534798535
EVA-X,Fracture,1.5,0.2,2,0.5669460144221399,0.6106554504030844
EVA-X,Lung_Lesion,1.0,0.2,1,0.81884561891516,0.6584036568213784
EVA-X,Lung_Opacity,0.5,0.2,1,0.7466788265693872,0.7057834320391899
EVA-X,Pleural_Effusion,0.67,0.5,1,0.9320556414219474,0.8981593646947977
EVA-X,Pneumonia,2.0,0.2,1,0.7357850070721358,0.6468800014305767
